StageName,InputFile,OutputFile
Face Tracking,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/track/output/1.mp4_faceTracks.csv

Frame number,Shot number,Face id,x_min,y_min,x_max,y_max
99,2,4,1082.0,122.0,1144.0,209.0
100,2,4,1083.0,122.0,1145.0,209.0
101,2,4,1083.0,122.0,1145.0,209.0
102,2,4,1083.0,122.0,1145.0,209.0
103,2,4,1083.0,122.0,1145.0,209.0
104,2,4,1083.0,122.0,1145.0,209.0
105,2,4,1083.0,122.0,1145.0,209.0
106,2,4,1083.0,122.0,1145.0,209.0
107,2,4,1083.0,122.0,1145.0,209.0
108,2,4,1084.0,121.0,1146.0,208.0
109,2,4,1084.0,120.0,1146.0,207.0
110,2,4,1084.0,121.0,1146.0,208.0
111,2,4,1084.0,120.0,1146.0,207.0
112,2,4,1084.0,121.0,1146.0,208.0
113,2,4,1084.0,120.0,1146.0,207.0
114,2,4,1084.0,121.0,1146.0,208.0
115,2,4,1084.0,120.0,1146.0,207.0
116,2,4,1084.0,121.0,1146.0,208.0
117,2,4,1084.0,120.0,1146.0,207.0
118,2,4,1084.0,121.0,1146.0,208.0
119,2,4,1085.0,120.0,1147.0,207.0
120,2,4,1085.0,121.0,1147.0,208.0
121,2,4,1085.0,120.0,1147.0,207.0
122,2,4,1085.0,121.0,1147.0,208.0
123,2,4,1085.0,120.0,1147.0,207.0
124,2,4,1085.0,121.0,1147.0,208.0
125,2,4,1085.0,120.0,1147.0,207.0
126,2,4,1085.0,121.0,1147.0,208.0
127,2,4,1085.0,120.0,1147.0,207.0
128,2,4,1085.0,121.0,1147.0,208.0
129,2,4,1086.0,120.0,1148.0,207.0
130,2,4,1086.0,121.0,1148.0,208.0
131,2,4,1086.0,120.0,1148.0,207.0
132,2,4,1086.0,121.0,1148.0,208.0
133,2,4,1086.0,120.0,1148.0,207.0
134,2,4,1086.0,121.0,1148.0,208.0
135,2,4,1086.0,120.0,1148.0,207.0
136,2,4,1086.0,121.0,1148.0,208.0
137,2,4,1086.0,121.0,1148.0,208.0
138,2,4,1086.0,121.0,1148.0,208.0
139,2,4,1086.0,121.0,1148.0,208.0
140,2,4,1086.0,121.0,1148.0,208.0
141,2,4,1087.0,121.0,1149.0,208.0
142,2,4,1087.0,121.0,1149.0,208.0
143,2,4,1087.0,121.0,1149.0,208.0
144,2,4,1087.0,121.0,1149.0,208.0
145,2,4,1087.0,122.0,1149.0,209.0
146,2,4,1087.0,123.0,1149.0,210.0
147,2,4,1087.0,122.0,1149.0,209.0
148,2,4,1087.0,123.0,1149.0,210.0
149,2,4,1087.0,122.0,1149.0,209.0
150,2,4,1087.0,123.0,1149.0,210.0
50,2,5,147,109,210,183
51,2,5,147.0,109.0,211.0,184.0
52,2,5,147.0,109.0,211.0,184.0
53,2,5,146.0,109.0,210.0,184.0
54,2,5,146.0,109.0,210.0,184.0
55,2,5,146.0,109.0,210.0,184.0
56,2,5,145.0,109.0,209.0,184.0
57,2,5,145.0,109.0,209.0,184.0
58,2,5,145.0,109.0,209.0,184.0
59,2,5,145.0,108.0,209.0,183.0
60,2,5,144.0,109.0,208.0,184.0
61,2,5,144.0,108.0,208.0,183.0
62,2,5,144.0,109.0,208.0,184.0
63,2,5,144.0,108.0,208.0,183.0
64,2,5,144.0,109.0,208.0,184.0
65,2,5,144.0,108.0,208.0,183.0
66,2,5,144.0,109.0,208.0,184.0
67,2,5,144.0,108.0,208.0,183.0
68,2,5,143.0,108.0,207.0,183.0
69,2,5,143.0,108.0,207.0,183.0
70,2,5,143.0,108.0,207.0,183.0
71,2,5,143.0,108.0,207.0,183.0
72,2,5,143.0,108.0,207.0,183.0
73,2,5,143.0,108.0,207.0,183.0
74,2,5,143.0,108.0,207.0,183.0
75,2,5,143.0,108.0,207.0,183.0
76,2,5,143.0,108.0,207.0,183.0
77,2,5,143.0,108.0,207.0,183.0
78,2,5,143.0,108.0,207.0,183.0
79,2,5,143.0,108.0,207.0,183.0
80,2,5,143.0,108.0,207.0,183.0
81,2,5,143.0,108.0,207.0,183.0
82,2,5,143.0,108.0,207.0,183.0
83,2,5,143.0,108.0,207.0,183.0
84,2,5,143.0,108.0,207.0,183.0
85,2,5,143.0,108.0,207.0,183.0
86,2,5,143.0,108.0,207.0,183.0
87,2,5,143.0,108.0,207.0,183.0
88,2,5,143.0,108.0,207.0,183.0
89,2,5,143.0,108.0,207.0,183.0
90,2,5,143.0,108.0,207.0,183.0
91,2,5,143.0,108.0,207.0,183.0
92,2,5,144.0,108.0,208.0,183.0
93,2,5,144.0,108.0,208.0,183.0
94,2,5,144.0,108.0,208.0,183.0
95,2,5,144.0,108.0,208.0,183.0
96,2,5,144.0,108.0,208.0,183.0
97,2,5,144.0,108.0,208.0,183.0
98,2,5,144.0,108.0,208.0,183.0
99,2,5,144.0,108.0,208.0,183.0
100,2,5,144.0,108.0,208.0,183.0
101,2,5,144.0,108.0,208.0,183.0
102,2,5,145.0,108.0,209.0,183.0
103,2,5,145.0,108.0,209.0,183.0
104,2,5,145.0,108.0,209.0,183.0
105,2,5,145.0,108.0,209.0,183.0
106,2,5,145.0,108.0,209.0,183.0
107,2,5,145.0,108.0,209.0,183.0
108,2,5,145.0,108.0,209.0,183.0
109,2,5,145.0,108.0,209.0,183.0
110,2,5,146.0,108.0,210.0,183.0
111,2,5,146.0,108.0,210.0,183.0
112,2,5,146.0,108.0,210.0,183.0
113,2,5,146.0,108.0,210.0,183.0
114,2,5,146.0,108.0,210.0,183.0
115,2,5,146.0,108.0,210.0,183.0
116,2,5,147.0,108.0,211.0,183.0
117,2,5,147.0,108.0,211.0,183.0
118,2,5,147.0,108.0,211.0,183.0
119,2,5,147.0,108.0,211.0,183.0
120,2,5,147.0,108.0,211.0,183.0
121,2,5,148.0,108.0,212.0,183.0
122,2,5,148.0,108.0,212.0,183.0
123,2,5,148.0,108.0,212.0,183.0
124,2,5,148.0,108.0,212.0,183.0
125,2,5,148.0,108.0,212.0,183.0
126,2,5,148.0,108.0,212.0,183.0
127,2,5,148.0,108.0,212.0,183.0
128,2,5,148.0,108.0,212.0,183.0
129,2,5,148.0,108.0,212.0,183.0
130,2,5,148.0,108.0,212.0,183.0
